amount,_currency,entity,calendar_year,rev_type,donor,contrib_type
66014781,USD,UNDP,2011,R03,Multilateral Fund Secretariat in Montreal,2
65708564,USD,WHO,2012,R03,European Union,2
65462129,USD,WHO,2010,R03,United Nations Development Programme,2
63128291.77,USD,FAO,2018,R03,UN OCHA,C04C
62306000,USD,IFAD,2018,R03,European Union,C08A
62094650.63,USD,UNIDO,2016,R08B,Global Environment Facility (thru UNDP or UNEP),2
62068010,USD,WHO,2014,R03,European Union,2
61504434.26,USD,UNICEF,2015,R12,Private Donors,2
61385430.77,USD,UNICEF,2015,R12,Gavi Alliance,2
60108876,USD,UNHCR,2018,R03,UN OCHA,C04D
59780385.84,USD,UNICEF,2015,R12,Private Donors,2
59726550,USD,WHO,2011,R03,Gavi Alliance,2
58819136.66,USD,UNICEF,2015,R12,Private Donors,2
57213835,USD,WHO,2010,R03,European Union,2
57052590,USD,UNICEF,2014,R03,Gavi Alliance,2
56556840.93,USD,UN,2015,R09,European Union,2
56458642.81,USD,WHO,2014,R03,United Nations Development Programme,2
56194883.49,USD,WFP,2018,R03,European Union,C08A
55734362,USD,UNEP,2013,R03,European Union,2
55052142.66,USD,FAO,2011,R03,UN OCHA,2
54937681,USD,WHO,2012,R03,UN OCHA,2
53565568.46,USD,FAO,2014,R03,UN OCHA,2
53307399.7,USD,WHO,2014,R03,UN OCHA,2
53206108,USD,IOM,2014,R03,UN OCHA,2
53197127.3,USD,UNICEF,2013,R03,Global Partnership for Education,2
52572000,USD,UNICEF,2010,R03,Bill & Melinda Gates Foundation,2
52388328,USD,UNHCR,2014,R03,UN OCHA,2
52333694.79,USD,UN,2010,R03,United Nations Development Programme,2
51981761.54,USD,UNICEF,2015,R12,Private Donors,2
51476695,USD,WHO,2010,R03,UN OCHA,2
51018544.3,USD,UN,2013,R03,UN Foundation,2
50154676,USD,UNHCR,2011,R03,UN OCHA,2
49328699,USD,UN,2016,R09,European Union,2
49176222,USD,WHO,2018,R03,UN OCHA,C04D
49058291.09,USD,UNEP,2016,R09,European Union,2
48117000,USD,IFAD,2013,R03,European Union,2
48103626,USD,UNHCR,2010,R03,UN OCHA,2
47843000,USD,UNICEF,2010,R03,World Bank Group,2
47648305,USD,WHO,2015,R09,European Union,2
47523901.4,USD,UN,2014,R03,United Nations Development Programme,2
47477371,USD,WHO,2016,R09,European Union,2
47402896,USD,UNICEF,2013,R03,Gavi Alliance,2
47342000,USD,IFAD,2016,R09,European Union,2
47150349,USD,ILO,2017,R09,European Union,2
46822762.63,USD,UNICEF,2015,R12,Private Donors,2
46746185,USD,UNFPA,2018,R03,UN OCHA,C04D
46639301.5,USD,UNICEF,2015,R12,Private Donors,2
46574291,USD,IOM,2014,R03,UN OCHA,2
46468000,USD,IFAD,2015,R09,European Union,2
46399315.08,USD,UN-HABITAT,2014,R03,United Nations,2
45634078.05,USD,FAO,2017,R08B,Global Environment Facility (thru UNDP or UNEP),2
45623044,USD,UNRWA,2016,R03,European Union,1
45450402.79,USD,FAO,2010,R03,United Nations Development Programme,2
45294305.41,USD,UNICEF,2015,R12,Private Donors,2
45065280,USD,UNICEF,2018,R03,Global Fund to Fight,C04B
44871223.81,USD,UNICEF,2015,R12,Private Donors,2
44721701.36,USD,UNICEF,2015,R12,Private Donors,2
44650754.67,USD,WFP,2014,R03,United Nations Development Programme,2
44593088,USD,UNHCR,2016,R09,European Union,2
44428088,USD,WHO,2011,R03,United Nations Development Programme,2
44096161,USD,WHO,2016,R08,UN OCHA,2
44058600,USD,UNHCR,2011,R01,United Nations,2
43821643,USD,WFP,2017,R09,European Union,2
43415136.31,USD,UNFPA,2017,R09,European Union,2
43130386,USD,WHO,2014,R03,UN OCHA,2
42937124,USD,WHO,2012,R03,Rotary International,2
42637235,USD,WHO,2012,R03,United Nations Development Programme,2
42219954,USD,WHO,2015,R08,UN OCHA,2
42065830,USD,WHO,2015,R08,Multi Donor Trust Funds,2
41912153.94,USD,UN,2010,R03,UN Foundation,2
41210411,USD,UNODC,2014,R03,European Union,2
40921244,USD,UNICEF,2017,R08B,Global Fund to Fight,2
40824052,USD,UNODC,2017,R09,European Union,2
40293447,USD,UNFPA,2018,R03,European Union,C08A
39640800,USD,UNHCR,2010,R01,United Nations,2
39564381.52,USD,FAO,2016,R10,UN OCHA,2
39440203,USD,UNEP,2017,R09,European Union,2
39413724,USD,WHO,2011,R03,UN OCHA,2
39357269.13,USD,UN,2017,R09,European Union,2
39317277,USD,UNHCR,2016,R08,UN OCHA,2
39129445.88,USD,FAO,2016,R08,United Nations Development Programme,2
38878000,USD,UNODC,2016,R09,European Union,2
38696497.75,USD,UNHCR,2018,R02,Private Donors,C06
38273159,USD,WFP,2016,R09,European Union,2
38230209.25,USD,UNEP,2014,R03,European Union,2
37345000,USD,IFAD,2014,R03,European Union,2
37201485,USD,UNFPA,2014,R03,United Nations Development Programme,2
37153191.93,USD,FAO,2011,R03,United Nations Development Programme,2
37096913.85,USD,UNHCR,2017,R09,European Union,2
36524832,USD,IOM,2016,R08,UN OCHA,2
36490008.1,USD,FAO,2016,R08B,Global Environment Facility (thru UNDP or UNEP),2
36389788.71,USD,UNODC,2018,R03,European Union,C08A
36290000,USD,IFAD,2017,R09,European Union,2
35955897.99,USD,UNHCR,2017,R12,Private Donors,2
35227843.09,USD,UNFPA,2016,R08,UN OCHA,2
34732174.12,USD,FAO,2013,R03,UN OCHA,2
34548519,USD,IOM,2017,R08,UN OCHA,2
34163597.2,USD,UNRWA,2014,R03,United Nations,2
33887557.26,USD,UNICEF,2014,R03,Global Fund to Fight,2
33853726.61,USD,UNICEF,2013,R03,Multi Donor Trust Funds,2
33684829.17,USD,UNIDO,2011,R03,Global Environment Facility (thru UNDP or UNEP),2
33386049,USD,UNHCR,2016,R08,UN OCHA,2
33107238,USD,UNICEF,2018,R02,USA National Committee,C06
32239227.17,USD,FAO,2015,R10,UN OCHA,2
32114500,USD,ILO,2011,R03,United Nations Development Programme,2
32061624.1,USD,FAO,2017,R10,UN OCHA,2
31947925,USD,UN-HABITAT,2014,R03,European Union,2
31549152.22,USD,ILO,2018,R03,European Union,C08A
31486048.68,USD,UNIDO,2013,R03,Global Environment Facility (thru UNDP or UNEP),2
31480140.58,USD,UNHCR,2017,R09,European Union,2
31334222,USD,WHO,2016,R10,UN OCHA,2
31286918.29,USD,UNIDO,2018,R03,Global Environment Facility (thru UNDP or UNEP),C04B
30505030.15,USD,UNICEF,2016,R08B,Global Fund to Fight,2
30430000,USD,UNICEF,2010,R03,Rotary International,2
30419749,USD,UNICEF,2017,R12,Private Donors,2
30241610,USD,UNODC,2015,R09,European Union,2
30156297.99,USD,UNICEF,2015,R08B,Global Fund to Fight,2
30052657.95,USD,FAO,2014,R03,Global Environment Facility (thru UNDP or UNEP),2
30046484,USD,IOM,2015,R08,UN OCHA,2
29937456.09,USD,FAO,2018,R03,World Bank Group,C04A
29278342.75,USD,WHO,2017,R08,UN OCHA,2
29094096,USD,IOM,2016,R10,UN OCHA,2
28315905,USD,WHO,2017,R08,UN OCHA,2
28118226.01,USD,UNEP,2015,R08B,World Bank Group,2
27861148.69,USD,FAO,2015,R11,World Bank Group,2
27845978.12,USD,FAO,2016,R11,World Bank Group,2
27657532.74,USD,UNICEF,2015,R12,Private Donors,2
27372520.79,USD,UNICEF,2016,R12,Private Donors,2
26841061,USD,UNRWA,2010,R03,European Union,2
26580946,USD,UN-HABITAT,2012,R03,European Union,2
26540858.57,USD,UN-HABITAT,2018,R03,European Union,C08A
25987001,USD,UNDP,2015,R10,United Nations Development Programme,2
25979906.18,USD,FAO,2013,R03,United Nations Development Programme,2
25825339,USD,UNICEF,2013,R03,UN Foundation,2
25725856.56,USD,UNWOMEN,2015,R08,Multi Donor Trust Funds,2
25718369,USD,UNFPA,2014,R03,UN OCHA,2
25647529.99,USD,UNWOMEN,2017,R08,Multi Donor Trust Funds,2
25647042.8,USD,UNRWA,2018,R03,European Union,C08A
25634229.75,USD,UNICEF,2016,R12,Private Donors,2
25582000,USD,ILO,2010,R03,United Nations Development Programme,2
25563432.06,USD,FAO,2014,R03,United Nations Development Programme,2
25454100,USD,UNRWA,2012,R02,United Nations,2
25438451,USD,ILO,2016,R09,European Union,2
25354901.08,USD,UNODC,2011,R03,European Union,2
25316525,USD,UNODC,2013,R03,European Union,2
25111180,USD,UNHCR,2016,R12,Private Donors,2
25055335,USD,WHO,2014,R03,Global Fund to Fight,2
25025018.35,USD,UN-HABITAT,2015,R09,European Union,2
24997309.84,USD,IOM,2018,R03,Multi Donor Trust Funds,C04D
24991176.29,USD,UNHCR,2018,R03,UN OCHA,C04D
24961004,USD,UNDP,2016,R11,Global Environment Facility (thru UNDP or UNEP),2
24922314,USD,ILO,2014,R03,European Union,2
24865521,USD,UNICEF,2017,R07,USA National Committee,2
24835000,USD,ILO,2010,R03,European Union,2
24765321.91,USD,UNHCR,2018,R03,Private Donors,C06
24596275,USD,UNRWA,2011,R02,United Nations,2
24495792,USD,IOM,2017,R10,UN OCHA,2
24416220.07,USD,FAO,2014,R03,World Bank Group,2
24344484,USD,UNDP,2017,R08B,Private Donors,2
24283812.96,USD,UNHCR,2018,R03,Private Donors,C06
24256502,USD,ILO,2012,R03,European Union,2
24230764.39,USD,UNHCR,2018,R02,Private Donors,C06
24161637,USD,UNHCR,2016,R12,Private Donors,2
23787646.71,USD,UNIDO,2014,R03,European Union,2
23648262,USD,UNRWA,2010,R02,United Nations,2
23456659,USD,UN-HABITAT,2011,R03,Multi Donor Trust Funds,2
23456287.84,USD,FAO,2015,R08,United Nations Development Programme,2
23308900,USD,UNFPA,2018,R03,European Union,C08A
22936992.11,USD,FAO,2013,R03,World Bank Group,2
22907784.77,USD,UNICEF,2015,R12,Private Donors,2
22679100,USD,ILO,2011,R03,European Union,2
21963027.14,USD,UNWOMEN,2017,R09,European Union,2
21911374.64,USD,UNFPA,2016,R08,United Nations Development Programme,2
21729966,USD,WHO,2010,R03,The Joint United Nations Programme on HIV/AIDS,2
21563627,USD,ILO,2012,R03,United Nations Development Programme,2
21542000,USD,UNFPA,2013,R03,The Joint United Nations Programme on HIV/AIDS,2
21516364,USD,UNHCR,2016,R12,Private Donors,2
21421074.05,USD,UNICEF,2014,R03,Multi Donor Trust Funds,2
21313016.08,USD,IOM,2018,R03,Global Fund to Fight,C02
21307031.73,USD,IAEA,2015,R09,European Union,2
21154761.16,USD,UNHCR,2018,R02,Private Donors,C06
20999716.88,USD,UNFPA,2015,R08,United Nations Development Programme,2
20989941.77,USD,UNHCR,2018,R03,Private Donors,C06
20974000,USD,UNICEF,2010,R03,The Joint United Nations Programme on HIV/AIDS,2
20925727,USD,UNDP,2015,R08B,Private Donors,2
20899838.77,USD,UNICEF,2015,R12,Private Donors,2
20706661,USD,WHO,2018,R03,World Bank Group,C04A
20697450,USD,UNHCR,2016,R12,Private Donors,2
20542025.87,USD,UN-OCHA,2018,R03,European Union,C08A
20530831.44,USD,UNICEF,2016,R12,Private Donors,2
20382649.19,USD,UNFPA,2016,R09,European Union,2
20370130,USD,UNFPA,2017,R08,UN OCHA,2
20249000,USD,ITC,2014,R01,United Nations,2
20238000,USD,ITC,2012,R01,United Nations,2
20175474,USD,UNICEF,2017,R12,Private Donors,2
20110705.87,USD,UNHCR,2017,R09,European Union,2
19979201.71,USD,UN,2018,R03,European Union,C08A
19829539.87,USD,UNICEF,2015,R12,Private Donors,2
19677901.81,USD,UN-HABITAT,2017,R09,European Union,2
19530905,USD,UNEP,2013,R03,United Nations Development Programme,2
19430408.7,USD,UN,2015,R10,United Nations Development Programme,2
19423569.61,USD,FAO,2017,R11,World Bank Group,2
19222353.72,USD,UN,2013,R03,European Union,2
19149570,USD,UNHCR,2016,R12,Private Donors,2
19121075,USD,UNHCR,2017,R08,UN OCHA,2
19118336,USD,UNHCR,2016,R12,Private Donors,2
19091862.94,USD,UNRWA,2018,R03,European Union,C08A
18934000,USD,ITC,2011,R01,United Nations,2
18804039.13,USD,UNHCR,2018,R03,Private Donors,C06
18547900,USD,UNDP,2014,R03,Gavi Alliance,2
18509059.35,USD,FAO,2013,R03,Global Environment Facility (thru UNDP or UNEP),2
18482863.39,USD,UN,2015,R09,European Union,2
18256000,USD,IFAD,2018,R03,Global Environment Facility (thru UNDP or UNEP),C04B
17988639.38,USD,UNFPA,2015,R09,European Union,2
17933914,USD,UNESCO,2013,R03,World Bank Group,2
17845000,USD,UNFPA,2013,R03,Multi Donor Trust Funds,2
17725024.4,USD,UPU,2013,R03,European Union,2
17702000,USD,IFAD,2017,R08B,Global Environment Facility (thru UNDP or UNEP),2
17617638,USD,UNESCO,2018,R03,European Union,C08A
17607920,USD,UNESCO,2015,R09,European Union,2
17579958,USD,UNHCR,2016,R12,Private Donors,2
17393346,USD,UNWOMEN,2013,R03,Multi Donor Trust Funds,2
17365565,USD,ITC,2018,R03,European Union,C08A
17324000,USD,ITC,2010,R01,United Nations,2
17271161.41,USD,UNHCR,2018,R02,Private Donors,C06
17258894.17,USD,UNHCR,2017,R12,Private Donors,2
17043343.23,USD,UNICEF,2015,R12,Private Donors,2
16896126,USD,UNHCR,2017,R08,UN OCHA,2
16849646.82,USD,ITU,2015,R12,Multi Donor Trust Funds,2
16816467,USD,UNHCR,2016,R12,Private Donors,2
16729058.62,USD,FAO,2011,R03,Global Environment Facility (thru UNDP or UNEP),2
16576872.23,USD,UN-HABITAT,2016,R09,European Union,2
16566568,USD,UNDP,2018,R03,UN OCHA,C04C
16449331.22,USD,ITU,2018,R01,Private Donors,C06
16301240,USD,UNDP,2014,R03,UN OCHA,2
16259555,USD,UNESCO,2014,R03,World Bank Group,2
16178868,USD,ILO,2015,R09,European Union,2
16170654.36,USD,WHO,2017,R08B,Global Fund to Fight,2
16086989,USD,UNFPA,2015,R08,UN OCHA,2
15747308,USD,UNEP,2013,R03,Multi Donor Trust Funds,2
15666981,USD,UNESCO,2014,R03,European Union,2
15636000,USD,UNFPA,2013,R03,UN OCHA,2
15622781.51,USD,UNHCR,2018,R02,Private Donors,C06
15452991.67,USD,UN-OHCHR,2018,R03,European Union,C08A
15450395.83,USD,WFP,2015,R09,European Union,2
15326106.51,USD,UNEP,2015,R09,European Union,2
15299021.48,USD,UNHCR,2017,R09,European Union,2
15259670,USD,UNDP,2011,R03,United Nations,2
15085000,USD,IFAD,2016,R11,World Bank Group,2
15005129,USD,UNRWA,2018,R03,UN OCHA,C04D
14956633,USD,UNESCO,2017,R09,European Union,2
14943194,USD,UNEP,2010,R03,European Union,2
14930106.59,USD,UNWOMEN,2016,R08,Multi Donor Trust Funds,2
14858375,USD,UNWOMEN,2014,R03,Multi Donor Trust Funds,2
14762252.74,USD,UNICEF,2015,R12,Private Donors,2
14646954,USD,UNEP,2011,R03,European Union,2
14610000,USD,UNFPA,2013,R03,European Union,2
14172571,USD,UNICEF,2017,R12,Private Donors,2
13973566.93,USD,UNODC,2010,R03,European Union,2
13574363,USD,UN-HABITAT,2010,R03,United Nations,2
13564467,USD,UN-HABITAT,2010,R03,European Union,2
13271655.91,USD,UNHCR,2017,R09,European Union,2
13029379.27,USD,UN-HABITAT,2018,R03,Private Donors,C02
12902495.94,USD,UNFPA,2017,R10,UN OCHA,2
12863500,USD,UNDP,2011,R03,Multi Donor Trust Funds,2
12840957,USD,IOM,2017,R08B,Global Fund to Fight,2
12839764,USD,UNFPA,2014,R03,European Union,2
12801374.72,USD,UNICEF,2015,R12,Private Donors,2
12671397,USD,UNICEF,2017,R12,Private Donors,2
12633013.05,USD,UNICEF,2016,R12,Private Donors,2
12602044,USD,ILO,2015,R08,Multi Donor Trust Funds,2
12590154,USD,WFP,2016,R10,UN OCHA,2
12406585,USD,UNWOMEN,2014,R03,European Union,2
12360103,USD,UNESCO,2016,R09,European Union,2
12356281,USD,UNDP,2015,R12,Bill & Melinda Gates Foundation,2
12265712,USD,UNICEF,2017,R12,Private Donors,2
12193913,USD,UNEP,2018,R03,Multi Donor Trust Funds,C04D
12139520,USD,UNESCO,2013,R03,European Union,2
12058303.04,USD,UNHCR,2017,R12,Private Donors,2
12017773.46,USD,UNICEF,2015,R12,Private Donors,2
12005906,USD,UNDP,2012,R03,UN OCHA,2
11982973.73,USD,UNICEF,2015,R12,Private Donors,2
11972154,USD,UNICEF,2017,R12,Private Donors,2
11918058.95,USD,UN,2013,R03,United Nations Development Programme,2
11765030,USD,ITC,2017,R09,European Union,2
11672000,USD,UNICEF,2011,R03,Gavi Alliance,2
11628582.1,USD,UNHCR,2018,R03,Private Donors,C06
11627692,USD,WHO,2016,R08,United Nations Development Programme,2
11323749.23,USD,UNHCR,2015,R12,Private Donors,2
11265458,USD,IOM,2015,R10,UN OCHA,2
11260611,USD,UN-HABITAT,2011,R03,United Nations,2
11151555.06,USD,UNEP,2016,R11,World Bank Group,2
11118787.68,USD,UNICEF,2016,R12,Private Donors,2
11060796.97,USD,UNICEF,2015,R12,Private Donors,2
10887480,USD,UNRWA,2018,R03,UN OCHA,C04C
10851806,USD,UN-HABITAT,2010,R03,Multi Donor Trust Funds,2
10811976.51,USD,UNFPA,2015,R03,Multi Donor Trust Funds,2
10802853,USD,UN-HABITAT,2011,R03,European Union,2
10764268,USD,IOM,2016,R12,Private Donors,2
10718660,USD,UNDP,2018,R03,Gavi Alliance,C04B
10672883,USD,UNCDF,2017,R08,Multi Donor Trust Funds,2
10667585,USD,UNESCO,2015,R08B,World Bank Group,2
10600233.22,USD,UNFPA,2016,R08,United Nations Development Programme,2
10550841.5,USD,IAEA,2013,R03,European Union,2
10500047,USD,UNESCO,2012,R03,European Union,2
10234405.73,USD,UNICEF,2015,R12,Private Donors,2
10139063,USD,ITC,2014,R03,European Union,2
10013917,USD,UNDP,2012,R03,Bill & Melinda Gates Foundation,2
10005929.18,USD,UNICEF,2016,R12,Private Donors,2
10000000,USD,UNITAID,2018,R02,Bill & Melinda Gates Foundation,C05
9996354,USD,UNHCR,2016,R09,European Union,2
9934195.51,USD,UNICEF,2016,R12,Private Donors,2
9931227.89,USD,UNIDO,2017,R09,European Union,2
9815000,USD,UNHCR,2013,R03,The Joint United Nations Programme on HIV/AIDS,2
9811098.21,USD,IAEA,2016,R03,European Union,2
9803590,USD,UNDP,2011,R03,Bill & Melinda Gates Foundation,2
9733980,USD,UNDP,2017,R08B,Gavi Alliance,2
9626725.58,USD,UN,2017,R09,European Union,2
9537987.58,USD,UNICEF,2016,R12,Private Donors,2
9535205.89,USD,UNIDO,2013,R03,European Union,2
