calendar year,entity code,type of financial information,amount,SDG goal,SDG target,SDG indicator
2019,UNFCCC,EXP,91656612,13,,
2019,UNWOMEN,EXP,8202844.39,13,,
2019,UNWOMEN,EXP,64241464.86,16,,
2019,UNWOMEN,EXP,9520685.31,1,,
2019,UNWOMEN,EXP,6021176.69,3,,
2019,UNWOMEN,EXP,6747753.29,4,,
2019,UNWOMEN,EXP,295798863.6,5,,
2019,UNWOMEN,EXP,18101772.65,8,,
2019,UNWOMEN,EXP,8402860.94,11,,
2019,UNWOMEN,EXP,3852578.14,17,,
2019,ILO,BUG,16999768.05,17,,
2019,ILO,BUG,49822539.48,1,,
2019,ILO,BUG,66414.9,11,,
2019,ILO,BUG,3581084.55,2,,
2019,ILO,BUG,23611515.16,3,,
2019,ILO,BUG,27148654.88,4,,
2019,ILO,BUG,38689419.07,5,,
2019,ILO,BUG,54561.8,6,,
2019,ILO,BUG,458505742.7,8,,
2019,ILO,BUG,3249738.88,9,,
2019,ILO,BUG,42977108.99,10,,
2019,ILO,BUG,34643875.63,16,,
2019,ILO,BUG,1075130.38,12,,
2019,ILO,BUG,4436190.54,13,,
2019,WFP,BUD,1066569840,17,,
2019,WFP,BUD,316651264.1,2,,
2019,WFP,BUD,5532806406,2,,
2019,WFP,BUD,448165013,2,,
2019,WFP,BUD,147893776,2,,
2019,WFP,BUD,181274039.9,2,,
2019,WFP,BUD,11918820.4,17,,
2019,WFP,BUD,362005.53,17,,
2019,WFP,BUD,64137459.43,17,,
2019,WFP,BUD,1068504.26,17,,
2019,UNOPS,EXP,373270785,16,,
2019,UNOPS,EXP,105688362,17,,
2019,UNOPS,EXP,14894679,4,,
2019,UNOPS,EXP,26730888,2,,
2019,UNOPS,EXP,194029432,3,,
2019,UNOPS,EXP,6269172,8,,
2019,UNOPS,EXP,127625558,9,,
2019,UNOPS,EXP,105949674,10,17.16,
2019,UNOPS,EXP,138472736,11,,
2019,UNOPS,EXP,35344802,13,2.1,
2019,UNOPS,EXP,1942715,14,2.2,
2019,UNOPS,EXP,885723,5,2.3,
2019,UNOPS,EXP,33836568,6,2.4,
2019,UNOPS,EXP,25113217,7,,
2019,UNOPS,EXP,205595,15,17.3,
2019,CTBTO,EXP,117462825,16,17.9,
2019,UNHCR,BUD,452628551,17,17.14,
2019,UNHCR,BUD,179470998,4,,
2019,UNHCR,BUD,119360921,8,,
2019,UNHCR,BUD,386045992,16,,
2019,UNHCR,BUD,763569552,1,,
2019,UNHCR,BUD,292004510,3,,
2019,UNHCR,BUD,102614528,5,,
2019,UNHCR,BUD,384380495,11,,
2019,UNHCR,BUD,114286510,6,,
2019,UNHCR,BUD,146690972,10,,
2019,UNFPA,EXP,244278997.9,3,,
2019,UNFPA,EXP,18120842.8,10,,
2019,UNFPA,EXP,16440509.28,11,,
2019,UNFPA,EXP,22356374.35,16,,
2019,UNFPA,EXP,26834571.69,17,,
2019,UNFPA,EXP,24795535.17,3,,
2019,UNFPA,EXP,344220027.9,3,,
2019,UNFPA,EXP,92556681.86,3,,
2019,UNFPA,EXP,26663702.53,3,,
2019,UNFPA,EXP,10741176.95,3,,
2019,UNFPA,EXP,165967894.7,5,,
2019,UNFPA,EXP,22059471.68,5,,
2019,UNFPA,EXP,18544535.52,5,,
2019,UNFPA,EXP,6747992.33,10,,
2019,UNFPA,EXP,89873932.88,17,,
2019,IFAD,EXP,185838000,2,,
2019,WHO,EXP,20825096,10,10.3,
2019,WHO,EXP,71151762,17,11.a,
2019,WHO,EXP,13128336,2,16.7,
2019,WHO,EXP,2934,2,17.18,
2019,WHO,EXP,20511839,2,3.3,
2019,WHO,EXP,12833884,3,3.7,
2019,WHO,EXP,9278514,3,3.8,
2019,WHO,EXP,67341802,3,3.c,
2019,WHO,EXP,66035317,3,3.d,
2019,WHO,EXP,49130773,3,5.2,
2019,WHO,EXP,48882176,3,5.3,
2019,WHO,EXP,6382083,3,5.6,
2019,WHO,EXP,92413792,3,10.2,
2019,WHO,EXP,520428,3,17.19,
2019,WHO,EXP,6213698,3,,
2019,WHO,EXP,159,3,,
2019,WHO,EXP,89787128,3,,
2019,WHO,EXP,89312616,3,10.2,
2019,WHO,EXP,3219834,3,17.16,
2019,WHO,EXP,2805001,3,2.2,
2019,WHO,EXP,19617,3,2.2,
2019,WHO,EXP,50157898,3,2.1,
2019,WHO,EXP,5790019,3,3.2,
2019,WHO,EXP,1962792,3,3.2,
2019,WHO,EXP,229975242,3,3.3,
2019,WHO,EXP,24153874,3,3.3,
2019,WHO,EXP,17236,3,3.3,
2019,WHO,EXP,-59989,3,3.3,
2019,WHO,EXP,-50807,3,3.8,
2019,WHO,EXP,27434603,3,3.8,
2019,WHO,EXP,2072164,3,3.8,
2019,WHO,EXP,25951,3,3.8,
2019,WHO,EXP,687618,3,3.8,
2019,WHO,EXP,15788541,3,3.8,
2019,WHO,EXP,76828501,3,3.8,
2019,WHO,EXP,27325618,3,3.8,
2019,WHO,EXP,-195020,3,3.8,
2019,WHO,EXP,-12136,3,3.9,
2019,WHO,EXP,272171,3,3.9,
2019,WHO,EXP,88285340,3,3.8,
2019,WHO,EXP,25485478,3,3.8,
2019,WHO,EXP,947591,3,3.b,
2019,WHO,EXP,541998,3,3.b,
2019,WHO,EXP,47249772,3,3.d,
2019,WHO,EXP,8552927,3,3.d,
2019,WHO,EXP,97798706,3,3.d,
2019,WHO,EXP,-245027,3,3.d,
2019,WHO,EXP,19962368,3,3.d,
2019,WHO,EXP,40621755,3,3.d,
2019,WHO,EXP,76772281,3,3.d,
2019,WHO,EXP,26953745,3,3.3,
2019,WHO,EXP,68346117,3,3.3,
2019,WHO,EXP,40955232,3,3.3,
2019,WHO,EXP,337872004,3,3.3,
2019,WHO,EXP,64039,3,3.3,
2019,WHO,EXP,103221579,3,3.3,
2019,WHO,EXP,177032903,3,3.4,
2019,WHO,EXP,10184214,3,3.4,
2019,WHO,EXP,613089699,3,3.d,
2019,WHO,EXP,172137216,3,3.4,
2019,WTO,EXP,261310806.9,17,3.7,
2019,UNIDO,EXP,30374135.65,7,3.8,
2019,UNIDO,EXP,2035412.06,8,3.8,
2019,UNIDO,EXP,23398099.69,1,3.d,
2019,UNIDO,EXP,16861986.33,2,3.d,
2019,UNIDO,EXP,6393675.73,3,3.d,
2019,UNIDO,EXP,700105.71,4,3.d,
2019,UNIDO,EXP,13521117.27,5,3.d,
2019,UNIDO,EXP,85423.85,6,3.d,
2019,UNIDO,EXP,115144875.4,9,3.d,
2019,UNIDO,EXP,299102.73,10,3.d,
2019,UNIDO,EXP,401743.22,14,3.3,
2019,UNIDO,EXP,1142041.37,16,3.d,
2019,UNIDO,EXP,10047814.65,17,3.d,
2019,UNIDO,EXP,401743.11,15,3.a,
2019,UNIDO,EXP,5059834.23,11,3.3,
2019,UNIDO,EXP,13061276.36,12,3.d,
2019,UNIDO,EXP,52924650.36,13,17.1,
2019,UNICEF,EXP,1242919381,3,,
2019,UNICEF,EXP,839266.44,13,,
2019,UNICEF,EXP,25602085.69,10,,
2019,UNICEF,EXP,996569065.3,17,,
2019,UNICEF,EXP,324055142.4,1,,
2019,UNICEF,EXP,5023745.73,5,,
2019,UNICEF,EXP,515453296.3,2,,
2019,UNICEF,EXP,1049752614,4,,
2019,UNICEF,EXP,899976335.2,6,,
2019,UNICEF,EXP,224882.96,9,,
2019,UNICEF,EXP,589667007.1,16,,
2019,IARC,EXP,48360015.63,3,,
2020,OPCW,EXP,88600299.39,9,9.5,9.5.1
2020,UNIDO,EXP,24444776.16,1,,
2020,UNIDO,EXP,16748403.58,2,,
2020,UNIDO,EXP,5836109.67,3,,
2020,UNIDO,EXP,636558.53,4,,
2020,UNIDO,EXP,10624799,5,,
2020,UNIDO,EXP,101492.03,6,,
2020,UNIDO,EXP,25109554.67,7,,
2020,UNIDO,EXP,1825834.1,8,,
2020,UNIDO,EXP,115233704.3,9,,
2020,UNIDO,EXP,339852.5,10,,
2020,UNIDO,EXP,306770.71,14,,
2020,UNIDO,EXP,11015937.93,17,,
2020,UNIDO,EXP,412445.72,16,,
2020,UNIDO,EXP,4666957.69,11,,
2020,UNIDO,EXP,12371069.37,12,,
2020,UNIDO,EXP,306771.59,15,,
2020,UNIDO,EXP,54568869.33,13,,
2020,UNICEF,EXP,332753704.4,1,,
2020,UNICEF,EXP,494756802,2,,
2020,UNICEF,EXP,1294458172,3,,
2020,UNICEF,EXP,1036807474,4,,
2020,UNICEF,EXP,8064734.41,5,,
2020,UNICEF,EXP,901172244.2,6,,
2020,UNICEF,EXP,674916.67,9,,
2020,UNICEF,EXP,27110254.16,10,,
2020,UNICEF,EXP,827080.71,13,,
2020,UNICEF,EXP,606504135.9,16,,
2020,UNICEF,EXP,1029617368,17,,
2020,IFAD,EXP,190620000,2,2.4,
2020,UNCDF,EXP,38411428.05,1,,
2020,UNCDF,EXP,1422622.18,11,,
2020,UNCDF,EXP,13209702.52,13,,
2020,UNCDF,EXP,8240598.58,17,,
2020,UNCDF,EXP,918016.08,2,,
2020,UNCDF,EXP,12988371.52,8,,
2020,UNCDF,EXP,2020214.22,5,,
2020,UNCDF,EXP,461289.01,6,,
2020,UNCDF,EXP,3997325.56,7,,
2020,UNDP,EXP,9292646,11,11.a,
2020,UNDP,EXP,15981889,11,11.b,
2020,UNDP,EXP,118974,11,11.c,
2020,UNDP,EXP,5689033,11,11.6,
2020,UNDP,EXP,157929,11,11.7,
2020,UNDP,EXP,522202244,1,1.4,
2020,UNDP,EXP,178507432,1,1.5,
2020,UNDP,EXP,0,2,2.b,
2020,UNDP,EXP,1153251,4,4.a,
2020,UNDP,EXP,3298931,3,3.9,
2020,UNDP,EXP,2373513,4,4.6,
2020,UNDP,EXP,4292087,4,4.7,
2020,UNDP,EXP,0,4,4.b,
2020,UNDP,EXP,11309211,4,4.c,
2020,UNDP,EXP,4726967,5,5.6,
2020,UNDP,EXP,739756,5,5.a,
2020,UNDP,EXP,2119925,8,8.4,
2020,UNDP,EXP,47230890,10,10.2,
2020,UNDP,EXP,4111636,10,10.4,
2020,UNDP,EXP,1384971,10,10.5,
2020,UNDP,EXP,0,10,10.6,
2020,UNDP,EXP,278115,9,9.2,
2020,UNDP,EXP,18571606,9,9.3,
2020,UNDP,EXP,52883180,9,9.4,
2020,UNDP,EXP,1739828,9,9.5,
2020,UNDP,EXP,0,9,9.a,
2020,UNDP,EXP,5046885,9,9.b,
2020,UNDP,EXP,415692,9,9.c,
2020,UNDP,EXP,20724327,10,10.1,
2020,UNDP,EXP,3785185,11,11.4,
2020,UNDP,EXP,37867725,11,11.5,
2020,UNDP,EXP,0,12,12.c,
2020,UNDP,EXP,9204602,15,15.5,
2020,UNDP,EXP,534424380,16,16.3,
2020,UNDP,EXP,709968,17,17.1,
2020,UNDP,EXP,4434,12,12.1,
2020,UNDP,EXP,78210493,1,1.3,
2020,UNDP,EXP,23913730,12,12.2,
2020,UNDP,EXP,59262906,1,1.a,
2020,UNDP,EXP,18795343,2,2.2,
2020,UNDP,EXP,8292313,2,2.3,
2020,UNDP,EXP,7815618,2,2.4,
2020,UNDP,EXP,0,2,2.5,
2020,UNDP,EXP,2895016,2,2.a,
2020,UNDP,EXP,288025,3,3.a,
2020,UNDP,EXP,73894200,1,1.1,
2020,UNDP,EXP,803169,2,2.c,
2020,UNDP,EXP,124524895,1,1.2,
2020,UNDP,EXP,18993220,2,2.1,
2020,UNDP,EXP,29651425,3,3.1,
2020,UNDP,EXP,13359573,1,1.b,
2020,UNDP,EXP,9100546,3,3.d,
2020,UNDP,EXP,5624914,6,6.1,
2020,UNDP,EXP,218816,6,6.6,
2020,UNDP,EXP,2038211,6,6.b,
2020,UNDP,EXP,7073264,7,7.a,
2020,UNDP,EXP,795529,12,12.3,
2020,UNDP,EXP,10137426,15,15.9,
2020,UNDP,EXP,171375616,16,16.7,
2020,UNDP,EXP,12237653,16,16.8,
2020,UNDP,EXP,313766,3,3.4,
2020,UNDP,EXP,1798905,3,3.6,
2020,UNDP,EXP,105903996,3,3.8,
2020,UNDP,EXP,39283797,3,3.2,
2020,UNDP,EXP,568604,3,3.7,
2020,UNDP,EXP,244689162,3,3.3,
2020,UNDP,EXP,585221,3,3.5,
2020,UNDP,EXP,2183201,5,5.4,
2020,UNDP,EXP,1018881,3,3.c,
2020,UNDP,EXP,1798234,4,4.2,
2020,UNDP,EXP,40015944,4,4.4,
2020,UNDP,EXP,2320116,4,4.5,
2020,UNDP,EXP,3840274,5,5.1,
2020,UNDP,EXP,18252753,5,5.2,
2020,UNDP,EXP,97,5,5.3,
2020,UNDP,EXP,14183376,3,3.b,
2020,UNDP,EXP,10532149,4,4.3,
2020,UNDP,EXP,1919374,6,6.2,
2020,UNDP,EXP,7501314,8,8.6,
2020,UNDP,EXP,1150742,12,12.b,
2020,UNDP,EXP,7385,14,14.3,
2020,UNDP,EXP,118305391,16,16.1,
2020,UNDP,EXP,58925366,16,16.5,
2020,UNDP,EXP,55068015,17,17.16,
2020,UNDP,EXP,34282793,17,17.18,
2020,UNDP,EXP,3791149,4,4.1,
2020,UNDP,EXP,39167608,5,5.5,
2020,UNDP,EXP,169548,5,5.b,
2020,UNDP,EXP,6267556,6,6.4,
2020,UNDP,EXP,2396382,5,5.c,
2020,UNDP,EXP,11617203,6,6.3,
2020,UNDP,EXP,1559736,6,6.5,
2020,UNDP,EXP,1024087,6,6.a,
2020,UNDP,EXP,9334496,7,7.3,
2020,UNDP,EXP,1669758,8,8.9,
2020,UNDP,EXP,16765472,8,8.1,
2020,UNDP,EXP,0,8,8.a,
2020,UNDP,EXP,236,8,8.b,
2020,UNDP,EXP,3972580,7,7.2,
2020,UNDP,EXP,708299,7,7.b,
2020,UNDP,EXP,7257650,8,8.2,
2020,UNDP,EXP,664855,8,8.1,
2020,UNDP,EXP,40854875,8,8.3,
2020,UNDP,EXP,58721,8,8.8,
2020,UNDP,EXP,6439532,10,10.3,
2020,UNDP,EXP,127665754,13,13.1,
2020,UNDP,EXP,145249802,13,13.2,
2020,UNDP,EXP,36663075,7,7.1,
2020,UNDP,EXP,15517793,8,8.5,
2020,UNDP,EXP,5181887,12,12.5,
2020,UNDP,EXP,1186840,12,12.6,
2020,UNDP,EXP,5248377,12,12.7,
2020,UNDP,EXP,1163251,12,12.8,
2020,UNDP,EXP,1316637,12,12.a,
2020,UNDP,EXP,116869,8,8.7,
2020,UNDP,EXP,4606544,9,9.1,
2020,UNDP,EXP,185323,10,10.7,
2020,UNDP,EXP,65131,10,10.a,
2020,UNDP,EXP,0,10,10.b,
2020,UNDP,EXP,0,10,10.c,
2020,UNDP,EXP,7796492,11,11.1,
2020,UNDP,EXP,3187467,11,11.2,
2020,UNDP,EXP,4206955,11,11.3,
2020,UNDP,EXP,21463032,14,14.5,
2020,UNDP,EXP,0,14,14.6,
2020,UNDP,EXP,1119577,14,14.7,
2020,UNDP,EXP,241929,14,14.a,
2020,UNDP,EXP,37236491,12,12.4,
2020,UNDP,EXP,4358863,15,15.a,
2020,UNDP,EXP,156028,16,16.2,
2020,UNDP,EXP,4984288,16,16.1,
2020,UNDP,EXP,0,17,17.5,
2020,UNDP,EXP,95737132,17,17.9,
2020,UNDP,EXP,15621353,13,13.3,
2020,UNDP,EXP,201077,13,13.a,
2020,UNDP,EXP,5346704,13,13.b,
2020,UNDP,EXP,876012,14,14.1,
2020,UNDP,EXP,6318312,14,14.2,
2020,UNDP,EXP,1979365,14,14.4,
2020,UNDP,EXP,389719,14,14.b,
2020,UNDP,EXP,332134,14,14.c,
2020,UNDP,EXP,68860263,15,15.1,
2020,UNDP,EXP,58482041,15,15.2,
2020,UNDP,EXP,4153861,15,15.3,
2020,UNDP,EXP,6300370,15,15.4,
2020,UNDP,EXP,6173915,15,15.6,
2020,UNDP,EXP,2087968,15,15.7,
2020,UNDP,EXP,0,15,15.8,
2020,UNDP,EXP,0,15,15.b,
2020,UNDP,EXP,479964,15,15.c,
2020,UNDP,EXP,1991052,16,16.4,
2020,UNDP,EXP,19544425,16,16.9,
2020,UNDP,EXP,298751131,16,16.6,
2020,UNDP,EXP,43910355,16,16.a,
2020,UNDP,EXP,414005,17,17.2,
2020,UNDP,EXP,6702356,16,16.b,
2020,UNDP,EXP,712792,17,17.3,
2020,UNDP,EXP,7563330,17,17.6,
2020,UNDP,EXP,1559061,17,17.4,
2020,UNDP,EXP,141751,17,17.8,
2020,UNDP,EXP,493635,17,17.1,
2020,UNDP,EXP,0,17,17.7,
2020,UNDP,EXP,20572709,17,17.17,
2020,UNDP,EXP,1600274,17,17.11,
2020,UNDP,EXP,0,17,17.12,
2020,UNDP,EXP,1402611,17,17.13,
2020,UNDP,EXP,8740613,17,17.14,
2020,UNDP,EXP,99051,17,17.15,
2020,UNDP,EXP,1249475,17,17.19,
2020,ICC,EXP,191354717.8,16,16.3,
2020,UNAIDS,EXP,0,1,,
2020,WHO,EXP,56503,3,3.d,
2020,WHO,EXP,962,3,3.d,
2020,WHO,EXP,33090327,3,3.d,
2020,WHO,EXP,4624773,5,5.1,
2020,WHO,EXP,2446307,3,9.5,
2020,WHO,EXP,91247935,3,3.d,
2020,WHO,EXP,1960162,3,3.d,
2020,WHO,EXP,220189,3,3.d,
2020,WHO,EXP,-129017,3,3.d,
2020,WHO,EXP,420773,3,3.d,
2020,WHO,EXP,10046875,3,3.d,
2020,WHO,EXP,1592471,3,3.d,
2020,WHO,EXP,9483645,3,3.d,
2020,WHO,EXP,92764332,17,17.18,
2020,WHO,EXP,221322,17,17.18,
2020,WHO,EXP,402251,2,2.1,
2020,WHO,EXP,91926,2,2.2,
2020,WHO,EXP,187047,2,2.2,
2020,WHO,EXP,19319198,3,3.3,
2020,WHO,EXP,36949,3,3.3,
2020,WHO,EXP,1009,3,3.3,
2020,WHO,EXP,13833,3,3.3,
2020,WHO,EXP,34743352,3,3.4,
2020,WHO,EXP,9314093,3,3.4,
2020,WHO,EXP,4095919,3,3.4,
2020,WHO,EXP,2839001,3,3.4,
2020,WHO,EXP,36949,3,3.4,
2020,WHO,EXP,99617,3,3.4,
2020,WHO,EXP,1786668,3,3.8,
2020,WHO,EXP,11081323,3,3.8,
2020,WHO,EXP,2129395,3,3.8,
2020,WHO,EXP,6101506,3,3.8,
2020,WHO,EXP,4742618,3,3.8,
2020,WHO,EXP,106981,3,3.8,
2020,WHO,EXP,26307,3,3.8,
2020,WHO,EXP,431620,3,3.8,
2020,WHO,EXP,540344,3,3.8,
2020,WHO,EXP,8769,3,3.9,
2020,WHO,EXP,193406,3,3.9,
2020,WHO,EXP,10882754,3,3.a,
2020,WHO,EXP,31944242,3,3.b,
2020,WHO,EXP,8526370,3,3.b,
2020,WHO,EXP,17924,3,3.c,
2020,WHO,EXP,17098167,3,3.d,
2020,WHO,EXP,86995725,3,3.d,
2020,WHO,EXP,806169,3,3.d,
2020,WHO,EXP,-90021,3,3.d,
2020,WHO,EXP,907390,3,3.d,
2020,WHO,EXP,817787,3,3.d,
2020,WHO,EXP,643797,3,3.d,
2020,WHO,EXP,1779580,3,3.d,
2020,WHO,EXP,-525352,3,3.d,
2020,WHO,EXP,74103975,3,3.d,
2020,WHO,EXP,130456557,3,3.d,
2020,WHO,EXP,1437157494,3,3.d,
2020,WHO,EXP,734289,3,3.d,
2020,WHO,EXP,449732,3,3.d,
2020,WHO,EXP,1925,2,2.2,
2020,WHO,EXP,9114938,3,3.2,
2020,WHO,EXP,357511,3,3.d,
2020,WHO,EXP,1105637,3,3.d,
2020,WHO,EXP,404089,10,10.2,
2020,WHO,EXP,5185,9,9.5,
2020,WHO,EXP,644120,17,17.16,
2020,WHO,EXP,1708154,17,17.16,
2020,WHO,EXP,5306437,3,3.2,
2020,WHO,EXP,238278446,3,3.3,
2020,WHO,EXP,7824696,3,3.3,
2020,WHO,EXP,14100553,3,3.7,
2020,WHO,EXP,19491598,3,3.c,
2020,WHO,EXP,6633047,2,2.2,
2020,WHO,EXP,7097333,2,2.2,
2020,WHO,EXP,440378,2,2.2,
2020,WHO,EXP,618,2,2.2,
2020,WHO,EXP,69164,2,2.2,
2020,WHO,EXP,52055042,3,3.2,
2020,WHO,EXP,136485,3,3.2,
2020,WHO,EXP,1939516,3,3.2,
2020,WHO,EXP,8292619,3,3.2,
2020,WHO,EXP,55331,3,3.2,
2020,WHO,EXP,639741,3,3.3,
2020,WHO,EXP,17538,3,3.3,
2020,WHO,EXP,96588665,3,3.8,
2020,WHO,EXP,447962,3,3.3,
2020,WHO,EXP,1326609,3,3.3,
2020,WHO,EXP,1216848,3,3.3,
2020,WHO,EXP,4095919,3,3.3,
2020,WHO,EXP,428846576,3,3.3,
2020,WHO,EXP,12096305,3,3.3,
2020,WHO,EXP,1897231,3,3.3,
2020,WHO,EXP,3920323,3,3.5,
2020,WHO,EXP,385371,3,3.3,
2020,WHO,EXP,51954620,3,3.4,
2020,WHO,EXP,461338,3,3.4,
2020,WHO,EXP,2091188,3,3.4,
2020,WHO,EXP,379065,3,3.4,
2020,WHO,EXP,8010340,3,3.4,
2020,WHO,EXP,896270,3,3.4,
2020,WHO,EXP,628967,3,3.4,
2020,WHO,EXP,113006,3,3.5,
2020,WHO,EXP,39941428,3,3.7,
2020,WHO,EXP,215783,3,3.7,
2020,WHO,EXP,164852371,3,3.8,
2020,WHO,EXP,26954860,3,3.8,
2020,WHO,EXP,57972251,3,3.8,
2020,WHO,EXP,2653219,3,3.6,
2020,WHO,EXP,66679,3,3.8,
2020,WHO,EXP,21318,3,3.c,
2020,WHO,EXP,27666,3,3.6,
2020,WHO,EXP,61753,3,3.8,
2020,WHO,EXP,9305887,3,3.8,
2020,WHO,EXP,3697149,3,3.8,
2020,WHO,EXP,1589456,3,3.8,
2020,WHO,EXP,6445323,3,3.8,
2020,WHO,EXP,17732384,3,3.b,
2020,WHO,EXP,49444953,3,3.d,
2020,WHO,EXP,438448,3,3.8,
2020,WHO,EXP,28571316,3,3.9,
2020,WHO,EXP,608424,3,3.9,
2020,WHO,EXP,3873155,3,3.9,
2020,WHO,EXP,1943226,3,3.9,
2020,WHO,EXP,383739,3,3.9,
2020,WHO,EXP,778446,3,3.b,
2020,WHO,EXP,3564628,3,3.c,
2020,UNITAID,EXP,257250000,3,3.3,
2020,UNWOMEN,EXP,10300231.64,1,,
2020,UNWOMEN,EXP,5762348.97,3,,
2020,UNWOMEN,EXP,69393287.98,16,,
2020,UNWOMEN,EXP,3628994.78,17,,
2020,UNWOMEN,EXP,6019165.75,4,,
2020,UNWOMEN,EXP,309063677.8,5,,
2020,UNWOMEN,EXP,19681440.24,8,,
2020,UNWOMEN,EXP,8271271.01,11,,
2020,UNWOMEN,EXP,7389581.8,13,,
2020,UNFCCC,EXP,73229083,13,,
2020,UNHCR,BUD,112189757,8,,
2020,UNHCR,BUD,121376225.5,10,,
2020,UNHCR,BUD,435251736,11,,
2020,UNHCR,BUD,899883895.2,1,,
2020,UNHCR,BUD,417837329.4,3,,
2020,UNHCR,BUD,193370102,4,,
2020,UNHCR,BUD,107508348.7,5,,
2020,UNHCR,BUD,130680538,6,,
2020,UNHCR,BUD,359614996.1,16,,
2020,UNHCR,BUD,492172525.5,17,,
2020,UN-DPO,EXP,7336866636,16,,
2020,IARC,EXP,53895347.24,3,3.4,
2020,ITLOS,BUD,0,16,,
2020,CTBTO,EXP,113298823,16,,
2020,WTO,EXP,289073673.8,17,17.1,
2020,ILO,BUG,6599289.02,17,17.18,
2020,ILO,BUG,368267.68,16,16.b,
2020,ILO,BUG,106740.56,17,17.1,
2020,ILO,BUG,7964598.86,17,17.14,
2020,ILO,BUG,354883.02,17,17.16,
2020,ILO,BUG,538073.6,17,17.17,
2020,ILO,BUG,558915.25,1,1.5,
2020,ILO,BUG,356327,1,1.b,
2020,ILO,BUG,687123.58,2,2.3,
2020,ILO,BUG,1261482.18,3,3.1,
2020,ILO,BUG,1514599.45,5,5.c,
2020,ILO,BUG,185436.37,16,16.1,
2020,ILO,BUG,404293.96,17,17.5,
2020,ILO,BUG,899142.42,17,17.6,
2020,ILO,BUG,580055.73,17,17.9,
2020,ILO,BUG,8425536.01,1,1.1,
2020,ILO,BUG,2374146.17,1,1.2,
2020,ILO,BUG,25816149.76,1,1.3,
2020,ILO,BUG,2776214.86,1,1.4,
2020,ILO,BUG,392448.4,4,4.6,
2020,ILO,BUG,468842.41,4,4.7,
2020,ILO,BUG,6215230.69,5,5.1,
2020,ILO,BUG,10690580.47,5,5.2,
2020,ILO,BUG,93137.97,5,5.3,
2020,ILO,BUG,1335169.25,3,3.3,
